ruleset,simulation_id,sim_type,roster,agent,mean_score,ci_halfwidth_score,win_rate_percent,ci_halfwidth_win_rate_percent,convergence_round,baseline_mean_random,delta_vs_random_mean,delta_vs_random_ci_low,delta_vs_random_ci_high,delta_vs_random_per_round,cliffs_delta_vs_random
no_rule2_prev_singleton,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,11.8955,0.3621189586016982,29.433333333333334,0.8931186852519812,,nan,nan,nan,nan,nan,nan
no_rule2_prev_singleton,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,10.9727,0.357682041446969,15.633333333333333,0.7118009535749398,,nan,nan,nan,nan,nan,nan
no_rule3_all_same_override,1,1v3,Random | Random | Random | Leader Copier,Random 1,83.89,0.12593854687013106,30.796666666666674,0.9046955605828466,44,83.9061,-0.016099999999994452,-0.164098333333337,0.1250708333333344,-0.00016099999999994453,-0.001071
no_rule3_all_same_override,1,1v3,Random | Random | Random | Leader Copier,Random 2,83.8801,0.1256487403223474,30.86166666666667,0.9052241318704191,41,83.9061,-0.02599999999999625,-0.1590108333333255,0.11995166666666915,-0.00025999999999996246,-0.0184545
no_rule3_all_same_override,1,1v3,Random | Random | Random | Leader Copier,Random 3,83.9482,0.1268404800103582,31.36166666666666,0.9092201599314009,42,83.9061,0.04210000000000491,-0.10046416666666147,0.1897741666666707,0.0004210000000000491,0.0039355
no_rule3_all_same_override,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,78.2917,0.11804479487625485,6.98,0.4996042288874,79,83.9061,-5.614399999999989,-5.7521466666666665,-5.4736624999999925,-0.05614399999999989,-0.484762
no_rule3_all_same_override,2,1v3,Random | Random | Random | Self Copier,Random 1,83.9588,0.12496128656412964,29.538333333333334,0.8940439960214985,41,83.9349,0.02389999999999759,-0.12192916666667698,0.16935333333332572,0.00023899999999997589,0.0202835
no_rule3_all_same_override,2,1v3,Random | Random | Random | Self Copier,Random 2,83.8859,0.12569820018481437,29.111666666666657,0.8902484284553092,40,83.9349,-0.04899999999999238,-0.18977333333332352,0.1034350000000085,-0.0004899999999999239,-0.0049155
no_rule3_all_same_override,2,1v3,Random | Random | Random | Self Copier,Random 3,83.96,0.12608748460246488,29.779999999999994,0.8961521067146816,40,83.9349,0.025099999999994793,-0.1138016666666644,0.17626666666666324,0.00025099999999994793,0.01393575
no_rule3_all_same_override,2,1v3,Random | Random | Random | Self Copier,Self Copier,83.7546,0.071575465628257,11.57,0.6269883823361702,47,83.9349,-0.18030000000000257,-0.28131083333332113,-0.07708666666666815,-0.0018030000000000257,-0.006568
no_rule3_all_same_override,3,1v3,Random | Random | Random | Frequency Copier,Random 1,83.9077,0.12399162422454424,33.34833333333333,0.9239014398202072,40,83.88853333333333,0.019166666666677656,-0.12277499999999719,0.16697000000000023,0.00019166666666677656,0.013457
no_rule3_all_same_override,3,1v3,Random | Random | Random | Frequency Copier,Random 2,83.8037,0.12412105515697647,32.79833333333333,0.9200253039373496,40,83.88853333333333,-0.08483333333332155,-0.23393416666667335,0.06463666666666652,-0.0008483333333332155,0.01795525
no_rule3_all_same_override,3,1v3,Random | Random | Random | Frequency Copier,Random 3,83.9542,0.12462231971390736,33.85333333333333,0.9273359086529931,43,83.88853333333333,0.06566666666667231,-0.08175249999999892,0.20896916666665497,0.0006566666666667231,0.04479
no_rule3_all_same_override,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,51.424,0.09812287430403899,0.0,0.019200623888327058,26,83.88853333333333,-32.46453333333333,-32.588211666666666,-32.34510333333333,-0.3246453333333333,-0.99995025
no_rule3_all_same_override,4,1v3,Random | Random | Random | Anti Copier,Random 1,83.9412,0.12662042359357883,0.0,0.019200623888327058,41,83.95176666666667,-0.010566666666676383,-0.15803500000000242,0.13723916666667468,-0.00010566666666676383,0.0049155
no_rule3_all_same_override,4,1v3,Random | Random | Random | Anti Copier,Random 2,83.9898,0.1266619153655597,0.0,0.019200623888327058,39,83.95176666666667,0.03803333333333114,-0.11326916666667479,0.1827924999999992,0.0003803333333333114,0.00263175
no_rule3_all_same_override,4,1v3,Random | Random | Random | Anti Copier,Random 3,83.9243,0.12638661111252247,0.0,0.019200623888327058,42,83.95176666666667,-0.02746666666666897,-0.17689250000000206,0.12088499999998958,-0.0002746666666666897,-0.02136425
no_rule3_all_same_override,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,125.6756,0.09311923040495174,100.0,0.019200623888326884,54,83.95176666666667,41.72383333333333,41.6028225,41.84252416666667,0.4172383333333333,1.0
no_rule3_all_same_override,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,66.4486,0.3410097136492283,20.23083333333333,0.7873047440451558,30,66.4753,-0.026700000000005275,-0.44258500000001105,0.3791737499999956,-0.00026700000000005273,0.01244375
no_rule3_all_same_override,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,66.502,0.3418986295536257,20.154166666666665,0.7861897425911701,29,66.4753,0.026699999999991064,-0.39509499999999775,0.4252812500000015,0.00026699999999991065,0.02152175
no_rule3_all_same_override,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,69.1288,0.21637689658756187,17.489166666666666,0.744515564176243,41,66.4753,2.653499999999994,2.3225974999999943,2.9679212500000003,0.02653499999999994,0.1405435
no_rule3_all_same_override,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,70.8844,0.22360589534997644,42.12583333333333,0.967590101092336,34,66.4753,4.409099999999995,4.079691249999991,4.7276599999999975,0.04409099999999995,0.196279
no_rule3_all_same_override,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,58.4877,0.1570718012996295,2.098333333333333,0.28147145556745473,26,58.4897,-0.0020000000000024443,-0.1879762500000007,0.19830625000000307,-2.0000000000024444e-05,-0.00827925
no_rule3_all_same_override,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,58.4917,0.15511514089188694,1.958333333333333,0.27215818904565875,27,58.4897,0.0020000000000024443,-0.19065624999999803,0.18085999999999944,2.0000000000024444e-05,-0.00045025
no_rule3_all_same_override,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,67.2015,0.1280949133663114,94.53833333333334,0.44561454251985655,28,58.4897,8.711799999999997,8.541998750000008,8.874965000000005,0.08711799999999997,0.602651
no_rule3_all_same_override,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,54.8369,0.09671072398609937,1.405,0.2313956331454891,27,58.4897,-3.652799999999999,-3.7947537500000004,-3.509093749999997,-0.03652799999999999,-0.30035575
no_rule3_all_same_override,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,82.2079,0.12670404280220282,0.0,0.019200623888327058,30,82.27815,-0.07025000000000148,-0.2252087500000009,0.08290499999999523,-0.0007025000000000147,0.0053795
no_rule3_all_same_override,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,82.3484,0.12666209960559627,0.0,0.019200623888327058,32,82.27815,0.07025000000000148,-0.08440000000000225,0.22894999999999754,0.0007025000000000147,0.01838075
no_rule3_all_same_override,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,81.3959,0.12641334950298244,0.0,0.019200623888327058,68,82.27815,-0.8822499999999991,-1.028916250000007,-0.7255712500000003,-0.00882249999999999,-0.04825625
no_rule3_all_same_override,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,125.9697,0.09192208057608298,100.0,0.019200623888326884,53,82.27815,43.69155000000001,43.57193,43.82026125,0.43691550000000007,1.0
no_rule3_all_same_override,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,56.6578,0.14402319349789394,8.551666666666668,0.5482378987303873,39,56.66375,-0.0059499999999985675,-0.18457125000000155,0.16954999999999892,-5.949999999998568e-05,-0.03245075
no_rule3_all_same_override,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,56.6697,0.1433052866794,8.851666666666667,0.5568452071637184,38,56.66375,0.0059499999999985675,-0.16960500000000261,0.17766749999999965,5.949999999998568e-05,-0.02960525
no_rule3_all_same_override,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,63.5294,0.11314390598617763,82.53166666666665,0.7441661563227564,33,56.66375,6.865650000000002,6.711446249999999,7.010234999999997,0.06865650000000002,0.51849675
no_rule3_all_same_override,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,54.9628,0.09511589646006513,0.065,0.05349920286524851,27,56.66375,-1.7009499999999989,-1.8418649999999939,-1.5640287500000019,-0.01700949999999999,-0.17077625
no_rule3_all_same_override,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,82.0358,0.12009134889069628,0.0,0.019200623888327058,39,82.0414,-0.00560000000000116,-0.15082000000000378,0.14010750000000374,-5.600000000001159e-05,-0.015221
no_rule3_all_same_override,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,82.047,0.11916008099632336,0.0,0.019200623888327058,39,82.0414,0.00560000000000116,-0.14280999999999439,0.15590375000000234,5.600000000001159e-05,0.00096425
no_rule3_all_same_override,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,82.324,0.07025693445862657,0.0,0.019200623888327058,46,82.0414,0.2826000000000022,0.1759487499999864,0.3919624999999942,0.0028260000000000216,0.03989775
no_rule3_all_same_override,9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,125.9588,0.09474129726149272,100.0,0.019200623888326884,52,82.0414,43.9174,43.79094249999999,44.047587499999985,0.439174,1.0
no_rule3_all_same_override,10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,91.3649,0.12783949139993922,0.0,0.019200623888327058,43,91.405,-0.04009999999999536,-0.18830374999999827,0.1141037500000057,-0.00040099999999995364,0.00101075
no_rule3_all_same_override,10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,91.4451,0.12661502771173616,0.0,0.019200623888327058,46,91.405,0.04009999999999536,-0.10705375000000075,0.2015787499999972,0.00040099999999995364,-0.02000125
no_rule3_all_same_override,10,2v2,Random | Random | Frequency Copier | Anti Copier,Frequency Copier,50.4551,0.09920610410003405,0.0,0.019200623888327058,29,91.405,-40.9499,-41.07902375,-40.8109725,-0.409499,-0.99999975
no_rule3_all_same_override,10,2v2,Random | Random | Frequency Copier | Anti Copier,Anti Copier,124.8431,0.08831080646667999,100.0,0.019200623888326884,54,91.405,33.438100000000006,33.316445,33.564225,0.33438100000000004,0.9999935
no_rule3_all_same_override,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Leader Copier,58.1863,0.40724987586978045,73.62916666666668,0.8635420988649334,65,43.0363,15.150000000000006,14.6752,15.615024999999996,0.15150000000000005,0.406525
no_rule3_all_same_override,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Self Copier,53.8785,0.34619799997047807,22.51583333333333,0.8185764870602463,78,43.0363,10.842200000000005,10.431977500000002,11.258025000000002,0.10842200000000006,0.34807225
no_rule3_all_same_override,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Frequency Copier,46.5568,0.3357424028384699,0.019166666666666665,0.033230471166916006,74,43.0363,3.5205000000000055,3.1228425000000013,3.919024999999997,0.035205000000000056,0.10091825
no_rule3_all_same_override,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Random 1,43.0363,0.2170190403135095,3.8358333333333334,0.3767822208829492,29,43.0363,0.0,-0.3218224999999963,0.3110299999999997,0.0,0.0084215
no_rule3_all_same_override,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Leader Copier,82.3408,0.10166780157594246,0.0,0.019200623888327058,54,70.7076,11.633200000000002,11.477362500000003,11.791607500000003,0.11633200000000002,0.843993
no_rule3_all_same_override,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Self Copier,82.5223,0.07418214251489985,0.0,0.019200623888327058,48,70.7076,11.814700000000002,11.678797499999995,11.959407500000003,0.11814700000000002,0.88726675
no_rule3_all_same_override,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Anti Copier,128.0112,0.09267486521184765,100.0,0.019200623888326884,59,70.7076,57.3036,57.1498475,57.45282500000001,0.573036,1.0
no_rule3_all_same_override,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Random 1,70.7076,0.11901895588394495,0.0,0.019200623888327058,39,70.7076,0.0,-0.17240249999999618,0.1690249999999969,0.0,-0.0036505
no_rule3_all_same_override,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Leader Copier,100.5004,0.10945177416388674,0.01,0.027431561810863744,68,65.7705,34.7299,34.56442500000001,34.891315,0.347299,0.99998875
no_rule3_all_same_override,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Frequency Copier,51.2031,0.08918736796476878,0.0,0.019200623888327058,39,65.7705,-14.5674,-14.718927500000005,-14.4158925,-0.145674,-0.9435715
no_rule3_all_same_override,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Anti Copier,119.0216,0.08352992428547168,99.99,0.02743156181086448,62,65.7705,53.25110000000001,53.1128825,53.39451,0.5325110000000001,1.0
no_rule3_all_same_override,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Random 1,65.7705,0.12125456791306988,0.0,0.019200623888327058,51,65.7705,0.0,-0.1696175000000025,0.17281999999999503,0.0,0.02205625
no_rule3_all_same_override,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Self Copier,71.3453,0.09067835371624255,0.0,0.019200623888327058,24,55.4942,15.851099999999995,15.695287500000003,16.018802500000007,0.15851099999999996,0.95874375
no_rule3_all_same_override,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Frequency Copier,63.9369,0.0834567250687357,0.0,0.019200623888327058,36,55.4942,8.442700000000002,8.291389999999996,8.6053225,0.08442700000000002,0.72670325
no_rule3_all_same_override,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Anti Copier,105.7186,0.07291673667036491,100.0,0.019200623888326884,38,55.4942,50.224399999999996,50.0869725,50.378029999999995,0.5022439999999999,1.0
no_rule3_all_same_override,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Random 1,55.4942,0.12246074683876884,0.0,0.019200623888327058,40,55.4942,0.0,-0.17121249999999896,0.1873024999999936,0.0,-0.014057
no_rule3_all_same_override,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Leader Copier,16.9719,0.288674002423825,1.6591666666666665,0.25100109673371584,,nan,nan,nan,nan,nan,nan
no_rule3_all_same_override,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,14.2618,0.23738774461140721,2.2725,0.2926082888232453,,nan,nan,nan,nan,nan,nan
no_rule3_all_same_override,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,12.1054,0.20523367234233447,1.2391666666666663,0.2175925066015688,,nan,nan,nan,nan,nan,nan
no_rule3_all_same_override,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,22.7125,0.3825988017745381,94.82916666666667,0.4342755652578023,,nan,nan,nan,nan,nan,nan
