ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.01,5,47
baseline,2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.02,5,37
baseline,2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.005,7,75
baseline,2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.01,7,61
baseline,2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.02,7,49
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.005,3,34
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.01,3,25
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.02,3,20
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.005,5,53
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.01,5,40
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.02,5,32
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.005,7,67
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.01,7,53
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.02,7,44
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.005,3,34
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.01,3,26
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.02,3,20
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.005,5,53
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.01,5,40
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.02,5,33
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.005,7,64
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.01,7,53
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.02,7,44
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.005,3,37
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.01,3,26
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.02,3,20
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.005,5,53
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.01,5,43
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.02,5,33
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.005,7,67
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.01,7,55
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.02,7,45
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.005,3,21
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.01,3,15
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.02,3,13
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.005,5,35
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.01,5,26
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.02,5,24
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.005,7,47
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.01,7,37
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.02,7,34
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.005,3,34
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.01,3,27
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.02,3,21
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.005,5,53
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.01,5,41
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.02,5,33
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.005,7,68
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.01,7,54
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.02,7,45
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.005,3,32
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.01,3,25
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.02,3,20
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.005,5,48
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.01,5,38
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.02,5,32
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.005,7,62
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.01,7,49
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.02,7,43
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.005,3,34
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.01,3,28
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.02,3,21
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.005,5,52
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.01,5,42
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.02,5,34
