ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,10,0.01,3,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,10,0.02,3,86
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,20,0.005,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,20,0.01,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,20,0.02,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,30,0.005,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,30,0.01,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,30,0.02,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,10,0.005,3,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,10,0.01,3,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,10,0.02,3,78
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,20,0.005,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,20,0.01,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,20,0.02,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,30,0.005,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,30,0.01,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,30,0.02,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,10,0.005,3,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,10,0.01,3,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,10,0.02,3,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,20,0.005,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,20,0.01,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,20,0.02,5,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,30,0.005,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,30,0.01,7,
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,30,0.02,7,
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.005,3,35
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.01,3,26
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,10,0.02,3,20
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.005,5,49
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.01,5,42
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,20,0.02,5,33
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.005,7,69
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.01,7,54
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,30,0.02,7,45
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.005,3,34
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.01,3,27
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,10,0.02,3,21
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.005,5,50
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.01,5,41
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,20,0.02,5,33
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.005,7,70
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.01,7,53
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,30,0.02,7,45
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.005,3,34
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.01,3,27
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,10,0.02,3,21
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.005,5,53
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.01,5,41
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,20,0.02,5,34
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.005,7,69
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.01,7,53
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,30,0.02,7,45
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.005,3,28
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.01,3,22
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,10,0.02,3,19
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.005,5,39
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.01,5,34
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,20,0.02,5,30
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.005,7,52
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.01,7,45
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,30,0.02,7,40
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.005,3,35
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.01,3,27
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,10,0.02,3,20
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.005,5,53
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.01,5,41
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,20,0.02,5,33
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.005,7,67
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.01,7,55
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,30,0.02,7,45
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.005,3,37
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.01,3,27
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,10,0.02,3,21
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,20,0.005,5,51
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,20,0.01,5,41
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,20,0.02,5,34
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,30,0.005,7,66
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,30,0.01,7,54
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,30,0.02,7,45
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,10,0.005,3,33
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,10,0.01,3,26
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,10,0.02,3,21
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,20,0.005,5,54
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,20,0.01,5,40
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,20,0.02,5,33
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,30,0.005,7,66
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,30,0.01,7,54
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,30,0.02,7,45
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,10,0.005,3,36
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,10,0.01,3,26
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,10,0.02,3,20
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.005,5,54
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.01,5,42
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,20,0.02,5,33
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.005,7,68
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.01,7,55
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,30,0.02,7,45
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.005,3,35
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.01,3,27
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,10,0.02,3,21
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.005,5,50
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.01,5,40
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,20,0.02,5,33
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.005,7,65
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.01,7,53
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,30,0.02,7,44
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.005,3,36
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.01,3,26
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,10,0.02,3,21
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.005,5,52
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.01,5,41
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,20,0.02,5,34
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.005,7,64
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.01,7,53
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,30,0.02,7,45
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.005,3,37
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.01,3,26
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,10,0.02,3,21
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.005,5,53
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.01,5,42
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,20,0.02,5,34
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.005,7,68
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.01,7,55
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,30,0.02,7,45
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.005,3,21
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.01,3,17
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,10,0.02,3,14
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.005,5,33
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.01,5,28
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,20,0.02,5,25
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.005,7,44
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.01,7,39
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,30,0.02,7,35
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.005,3,34
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.01,3,27
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,10,0.02,3,21
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.005,5,53
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.01,5,41
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,20,0.02,5,33
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.005,7,68
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.01,7,54
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,30,0.02,7,44
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.005,3,34
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.01,3,26
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,10,0.02,3,21
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.005,5,51
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.01,5,40
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,20,0.02,5,33
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.005,7,63
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.01,7,52
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,30,0.02,7,44
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.005,3,34
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.01,3,26
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,10,0.02,3,21
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.005,5,54
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.01,5,40
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,20,0.02,5,33
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.005,7,71
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.01,7,54
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,30,0.02,7,44
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.005,3,48
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.01,3,35
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,10,0.02,3,26
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.005,5,67
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.01,5,53
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,20,0.02,5,41
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.005,7,86
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.01,7,68
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,30,0.02,7,54
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.005,3,43
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.01,3,32
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,10,0.02,3,23
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.005,5,74
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.01,5,49
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,20,0.02,5,38
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.005,7,93
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.01,7,66
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,30,0.02,7,51
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.005,3,47
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.01,3,32
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,10,0.02,3,24
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.005,5,70
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.01,5,53
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,20,0.02,5,39
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.005,7,89
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.01,7,68
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,30,0.02,7,52
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.005,3,47
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.01,3,33
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,10,0.02,3,23
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.005,5,75
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.01,5,52
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,20,0.02,5,39
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.005,7,
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.01,7,70
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,30,0.02,7,53
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.005,3,65
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.01,3,44
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,10,0.02,3,30
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.005,5,
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.01,5,71
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.02,5,49
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.005,7,
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.01,7,92
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.02,7,66
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.005,3,25
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.01,3,21
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.02,3,18
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.005,5,37
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.01,5,32
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.02,5,29
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.005,7,48
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.01,7,43
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.02,7,39
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.005,3,26
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.01,3,22
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.02,3,18
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.005,5,40
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.01,5,33
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.02,5,29
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.005,7,51
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.01,7,44
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.02,7,39
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.005,3,17
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.01,3,17
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.02,3,16
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.005,5,63
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.01,5,50
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.02,5,26
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.005,7,
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.01,7,66
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.02,7,35
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.005,3,14
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.01,3,14
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.02,3,12
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.005,5,24
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.01,5,23
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.02,5,22
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.005,7,34
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.01,7,33
no_rule1_pairs,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.02,7,32
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.005,3,34
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.01,3,25
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.02,3,21
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.005,5,49
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.01,5,39
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.02,5,33
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.005,7,65
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.01,7,52
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.02,7,44
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.005,3,35
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.01,3,25
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.02,3,20
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.005,5,51
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.01,5,41
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.02,5,32
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.005,7,63
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.01,7,53
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.02,7,44
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.005,3,30
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.01,3,24
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.02,3,19
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.005,5,48
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.01,5,38
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.02,5,31
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.005,7,64
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.01,7,49
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.02,7,42
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.005,3,45
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.01,3,35
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.02,3,26
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.005,5,69
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.01,5,52
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.02,5,41
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.005,7,87
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.01,7,67
no_rule1_pairs,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.02,7,54
no_rule1_pairs,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.005,3,26
no_rule1_pairs,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.01,3,15
